Kategori,Alt Kategori,Kod,İngilizce Açıklama,Tr Açıklama,ICF Gösterim ekranı
s,"s5 – Sindirim, metabolik ve endokrin sistemlerin yapıları — Structures related to the digestive, metabolic and endocrine systems",s570,Structure of gall bladder and ducts,Safra kesesi ve safra yolları yapısı,s570 — Structure of gall bladder and ducts — Safra kesesi ve safra yolları yapısı  
s,"s5 – Sindirim, metabolik ve endokrin sistemlerin yapıları — Structures related to the digestive, metabolic and endocrine systems",s580,Structure of pancreas,Pankreas yapısı,s580 — Structure of pancreas — Pankreas yapısı  
s,"s5 – Sindirim, metabolik ve endokrin sistemlerin yapıları — Structures related to the digestive, metabolic and endocrine systems",s590,Structure of endocrine glands,Endokrin bezlerin yapısı,s590 — Structure of endocrine glands — Endokrin bezlerin yapısı  
s,"s5 – Sindirim, metabolik ve endokrin sistemlerin yapıları — Structures related to the digestive, metabolic and endocrine systems",s599,"Structures of the digestive, metabolic and endocrine systems, unspecified","Belirtilmemiş sindirim, metabolik ve endokrin sistem yapıları","s599 — Structures of the digestive, metabolic and endocrine systems, unspecified — Belirtilmemiş sindirim, metabolik ve endokrin sistem yapıları  "
s,s6 – Üreme sistemi ve ilgili yapılar — Structures related to the genitourinary and reproductive systems,s610,Structure of urinary system,İdrar sistemi yapısı,s610 — Structure of urinary system — İdrar sistemi yapısı  
s,s6 – Üreme sistemi ve ilgili yapılar — Structures related to the genitourinary and reproductive systems,s620,Structure of pelvis,Pelvis (leğen kemiği) yapısı,s620 — Structure of pelvis — Pelvis yapısı  
s,s6 – Üreme sistemi ve ilgili yapılar — Structures related to the genitourinary and reproductive systems,s630,Structure of reproductive system,Üreme sistemi yapısı,s630 — Structure of reproductive system — Üreme sistemi yapısı  
s,s6 – Üreme sistemi ve ilgili yapılar — Structures related to the genitourinary and reproductive systems,s640,Structure of breast,Meme yapısı,s640 — Structure of breast — Meme yapısı  
s,s6 – Üreme sistemi ve ilgili yapılar — Structures related to the genitourinary and reproductive systems,s699,"Structures of the genitourinary and reproductive systems, unspecified",Belirtilmemiş üriner ve üreme sistemleri yapıları,"s699 — Structures of the genitourinary and reproductive systems, unspecified — Belirtilmemiş üriner ve üreme sistemi yapıları  "
s,s7 – Hareket sistemi yapıları — Structures related to movement,s710,Structure of head and neck region,Baş ve boyun bölgesi yapısı,s710 — Structure of head and neck region — Baş ve boyun bölgesi yapısı  
s,s7 – Hareket sistemi yapıları — Structures related to movement,s720,Structure of shoulder region,Omuz bölgesi yapısı,s720 — Structure of shoulder region — Omuz bölgesi yapısı  
s,s7 – Hareket sistemi yapıları — Structures related to movement,s730,Structure of upper extremity,Üst ekstremite (üst uzuv) yapısı,s730 — Structure of upper extremity — Üst ekstremite yapısı  
s,s7 – Hareket sistemi yapıları — Structures related to movement,s740,Structure of pelvic region,Pelvik bölge yapısı,s740 — Structure of pelvic region — Pelvik bölge yapısı  
s,s7 – Hareket sistemi yapıları — Structures related to movement,s750,Structure of lower extremity,Alt ekstremite (alt uzuv) yapısı,s750 — Structure of lower extremity — Alt ekstremite yapısı  
s,s7 – Hareket sistemi yapıları — Structures related to movement,s760,Structure of trunk,Gövde (trunkus) yapısı,s760 — Structure of trunk — Gövde yapısı  
s,s7 – Hareket sistemi yapıları — Structures related to movement,s799,"Structures related to movement, unspecified",Belirtilmemiş hareketle ilişkili yapılar,"s799 — Structures related to movement, unspecified — Belirtilmemiş hareketle ilişkili yapılar  "
s,s7 – Hareket sistemi yapıları — Structures related to movement,s770,Additional musculoskeletal structures related to movement,Hareketle ilişkili ek kas-iskelet yapıları,s770 — Additional musculoskeletal structures related to movement — Hareketle ilişkili ek kas-iskelet yapıları  
s,s8 – Deri ve ilgili yapılar — Skin and related structures,s820,Structure of glands associated with skin,Ciltle ilişkili bezlerin yapısı,s820 — Structure of glands associated with skin — Cilde bağlı bezlerin yapısı  
s,s8 – Deri ve ilgili yapılar — Skin and related structures,s810,Structure of areas of skin,Cilt bölgelerinin yapısı,s810 — Structure of areas of skin — Cilt bölgelerinin yapısı  
s,s8 – Deri ve ilgili yapılar — Skin and related structures,s830,Structure of nails,Tırnak yapısı,s830 — Structure of nails — Tırnak yapısı  
s,s8 – Deri ve ilgili yapılar — Skin and related structures,s899,"Skin and related structures, unspecified",Belirtilmemiş cilt ve ilişkili yapıların yapısı,"s899 — Skin and related structures, unspecified — Belirtilmemiş cilt ve ilişkili yapılar  "
s,s8 – Deri ve ilgili yapılar — Skin and related structures,s840,Structure of hair,Saç yapısı,s840 — Structure of hair — Saç yapısı  
s,s999 - Belirsiz,s999,"Body structures, unspecified",Belirtilmemiş vücut yapıları,"s999 — Body structures, unspecified — Belirtilmemiş vücut yapıları  "
d,d1 – Öğrenme ve Bilgi Uygulama — Learning and Applying Knowledge,d110,Watching,İzleme,d110 — Watching — İzleme  
d,d1 – Öğrenme ve Bilgi Uygulama — Learning and Applying Knowledge,d115,Listening,Dinleme,d115 — Listening — Dinleme  
d,d1 – Öğrenme ve Bilgi Uygulama — Learning and Applying Knowledge,d120,Paying attention,Dikkat etme,d120 — Paying attention — Dikkat etme  
d,d1 – Öğrenme ve Bilgi Uygulama — Learning and Applying Knowledge,d130,Copying,Kopyalama,d130 — Copying — Kopyalama  
d,d1 – Öğrenme ve Bilgi Uygulama — Learning and Applying Knowledge,d135,Repeating,Tekrar etme,d135 — Repeating — Tekrar etme  
d,d1 – Öğrenme ve Bilgi Uygulama — Learning and Applying Knowledge,d140,Learning to read,Okuma öğrenimi,d140 — Learning to read — Okuma öğrenimi  
d,d1 – Öğrenme ve Bilgi Uygulama — Learning and Applying Knowledge,d145,Learning to write,Yazma öğrenimi,d145 — Learning to write — Yazma öğrenimi  
d,d1 – Öğrenme ve Bilgi Uygulama — Learning and Applying Knowledge,d150,Learning to calculate,Hesaplama öğrenimi,d150 — Learning to calculate — Hesaplama öğrenimi  
d,d1 – Öğrenme ve Bilgi Uygulama — Learning and Applying Knowledge,d155,Acquiring skills,Beceri kazanımı,d155 — Acquiring skills — Beceriler edinme  
d,d1 – Öğrenme ve Bilgi Uygulama — Learning and Applying Knowledge,d160,Focusing attention,Dikkati odaklama,d160 — Focusing attention — Dikkati odaklama  
d,d1 – Öğrenme ve Bilgi Uygulama — Learning and Applying Knowledge,d163,Thinking,Düşünme,d163 — Thinking — Düşünme  
d,d1 – Öğrenme ve Bilgi Uygulama — Learning and Applying Knowledge,d166,Reading,Okuma,d166 — Reading — Okuma  
d,d1 – Öğrenme ve Bilgi Uygulama — Learning and Applying Knowledge,d170,Writing,Yazma,d170 — Writing — Yazma  
d,d1 – Öğrenme ve Bilgi Uygulama — Learning and Applying Knowledge,d172,Calculating,Hesaplama,d172 — Calculating — Hesaplama  
d,d1 – Öğrenme ve Bilgi Uygulama — Learning and Applying Knowledge,d175,Solving problems,Problemleri çözme,d175 — Solving problems — Problem çözme  
d,d1 – Öğrenme ve Bilgi Uygulama — Learning and Applying Knowledge,d177,Making decisions,Karar verme,d177 — Making decisions — Karar verme  
d,d1 – Öğrenme ve Bilgi Uygulama — Learning and Applying Knowledge,d179,Applying knowledge,Bilgiyi uygulama,d179 — Applying knowledge — Bilgiyi uygulama  
d,d2 – Genel Görevler ve Talepler — General Tasks and Demands,d210,Undertaking a single task,Tek bir görevi yerine getirme,d210 — Undertaking a single task — Tek bir görevi yerine getirme  
d,d2 – Genel Görevler ve Talepler — General Tasks and Demands,d220,Undertaking multiple tasks,Birden fazla görevi yerine getirme,d220 — Undertaking multiple tasks — Birden fazla görevi yerine getirme  
d,d2 – Genel Görevler ve Talepler — General Tasks and Demands,d230,Carrying out daily routine,Günlük rutini sürdürme,d230 — Carrying out daily routine — Günlük rutini sürdürme  
d,d2 – Genel Görevler ve Talepler — General Tasks and Demands,d240,Handling stress and other psychological demands,Stresle ve diğer psikolojik taleplerle başa çıkma,d240 — Handling stress and other psychological demands — Stresle ve diğer psikolojik gereksinimlerle başa çıkma  
d,d3 – İletişim — Communication,d310,Communicating with - receiving - spoken messages,Sözlü mesajları alma – iletişim kurma,d310 — Communicating with - receiving - spoken messages — Sözlü mesajları alma  
d,d3 – İletişim — Communication,d315,Communicating with - receiving - nonverbal messages,Sözsüz mesajları alma – iletişim kurma,d315 — Communicating with - receiving - nonverbal messages — Sözsüz mesajları alma  
d,d3 – İletişim — Communication,d320,Communicating with - receiving - formal signed messages,Resmî işaret dili mesajlarını alma – iletişim kurma,d320 — Communicating with - receiving - formal signed messages — Resmî işaret dili mesajlarını alma  
d,d3 – İletişim — Communication,d325,Communicating with - receiving - written messages,Yazılı mesajları alma – iletişim kurma,d325 — Communicating with - receiving - written messages — Yazılı mesajları alma  
d,d3 – İletişim — Communication,d330,Speaking,Konuşma,d330 — Speaking — Konuşma  
d,d3 – İletişim — Communication,d335,Producing nonverbal messages,Sözsüz mesajlar üretme,d335 — Producing nonverbal messages — Sözsüz mesajlar üretme  
d,d3 – İletişim — Communication,d340,Producing formal signed messages,Resmî işaret dili mesajları üretme,d340 — Producing formal signed messages — Resmî işaret dili mesajları üretme  
d,d3 – İletişim — Communication,d345,Writing messages,Yazılı mesajlar oluşturma,d345 — Writing messages — Yazılı mesajlar oluşturma  
d,d3 – İletişim — Communication,d350,Conversation,Sohbet,d350 — Conversation — Sohbet  
d,d3 – İletişim — Communication,d355,Discussion,Tartışma,d355 — Discussion — Tartışma  
d,d3 – İletişim — Communication,d360,Using communication devices and techniques,İletişim araçları ve tekniklerini kullanma,d360 — Using communication devices and techniques — İletişim araçlarını ve tekniklerini kullanma  
d,d4 – Hareketlilik — Mobility,d410,Changing basic body position,Temel vücut pozisyonunu değiştirme,d410 — Changing basic body position — Temel vücut pozisyonunu değiştirme  
d,d4 – Hareketlilik — Mobility,d415,Maintaining a body position,Vücut pozisyonunu koruma,d415 — Maintaining a body position — Vücut pozisyonunu koruma  
d,d4 – Hareketlilik — Mobility,d420,Transferring oneself,Kendini transfer etme (pozisyon değiştirme),d420 — Transferring oneself — Kendini transfer etme  
d,d4 – Hareketlilik — Mobility,d425,Moving objects,Nesneleri hareket ettirme,d425 — Moving objects — Nesneleri hareket ettirme  
d,d4 – Hareketlilik — Mobility,d430,Lifting and carrying objects,Nesne kaldırma ve taşıma,d430 — Lifting and carrying objects — Nesne kaldırma ve taşıma  
d,d4 – Hareketlilik — Mobility,d435,Moving around using equipment,Ekipman kullanarak hareket etme,d435 — Moving around using equipment — Ekipman kullanarak hareket etme  
d,d4 – Hareketlilik — Mobility,d440,Fine hand use,İnce el kullanımı,d440 — Fine hand use — İnce el kullanımı  
d,d4 – Hareketlilik — Mobility,d445,Hand and arm use,El ve kol kullanımı,d445 — Hand and arm use — El ve kol kullanımı  
d,d4 – Hareketlilik — Mobility,d450,Walking,Yürüme,d450 — Walking — Yürüme  
d,d4 – Hareketlilik — Mobility,d455,Moving around,Hareket etme,d455 — Moving around — Hareket etme  
d,d4 – Hareketlilik — Mobility,d460,Moving around in different locations,Farklı ortamlarda hareket etme,d460 — Moving around in different locations — Farklı ortamlarda hareket etme  
d,d4 – Hareketlilik — Mobility,d465,Moving around using transportation,Ulaşım araçlarıyla hareket etme,d465 — Moving around using transportation — Ulaşım araçlarıyla hareket etme  
d,d4 – Hareketlilik — Mobility,d470,Using transportation,Ulaşım araçlarını kullanma,d470 — Using transportation — Ulaşım araçlarını kullanma  
d,d4 – Hareketlilik — Mobility,d475,Driving,Araç sürme,d475 — Driving — Araç sürme  
d,d5 – Öz bakım — Self-care,d510,Washing oneself,Kişisel temizliğini yapma,d510 — Washing oneself — Kişisel temizlik  
d,d5 – Öz bakım — Self-care,d520,Caring for body parts,Vücut bölümlerine bakım yapma,d520 — Caring for body parts — Vücut bölümlerine bakım yapma  
d,d5 – Öz bakım — Self-care,d530,Toileting,Tuvalet ihtiyacını karşılama,d530 — Toileting — Tuvalet ihtiyacını karşılama  
d,d5 – Öz bakım — Self-care,d540,Dressing,Giyinme,d540 — Dressing — Giyinme  
d,d5 – Öz bakım — Self-care,d550,Eating,Yemek yeme,d550 — Eating — Yemek yeme  
d,d5 – Öz bakım — Self-care,d560,Drinking,Sıvı içme,d560 — Drinking — Sıvı içme  
d,d5 – Öz bakım — Self-care,d570,Looking after one’s health,Sağlığını koruma,d570 — Looking after one’s health — Sağlığını koruma  
d,d6 – Ev Yaşamı — Domestic Life,d610,Acquiring a place to live,Barınacak yer edinme,d610 — Acquiring a place to live — Barınacak yer edinme  
d,d6 – Ev Yaşamı — Domestic Life,d620,Acquisition of goods and services,Mal ve hizmet edinme,d620 — Acquisition of goods and services — Mal ve hizmet edinme  
d,d6 – Ev Yaşamı — Domestic Life,d630,Preparing meals,Yemek hazırlama,d630 — Preparing meals — Yemek hazırlama  
d,d6 – Ev Yaşamı — Domestic Life,d640,Doing housework,Ev işleri yapma,d640 — Doing housework — Ev işleri yapma  
d,d6 – Ev Yaşamı — Domestic Life,d650,Caring for household objects,Ev eşyalarına bakım yapma,d650 — Caring for household objects — Ev eşyalarına bakım yapma  
d,d6 – Ev Yaşamı — Domestic Life,d660,Assisting others,Başkalarına yardım etme,d660 — Assisting others — Başkalarına yardım etme  
d,d7 – Kişilerarası Etkileşim ve İlişkiler — Interpersonal Interactions and Relationships,d710,Basic interpersonal interactions,Temel kişilerarası etkileşimler,d710 — Basic interpersonal interactions — Temel kişilerarası etkileşimler  
d,d7 – Kişilerarası Etkileşim ve İlişkiler — Interpersonal Interactions and Relationships,d720,Complex interpersonal interactions,Karmaşık kişilerarası etkileşimler,d720 — Complex interpersonal interactions — Karmaşık kişilerarası etkileşimler  
d,d7 – Kişilerarası Etkileşim ve İlişkiler — Interpersonal Interactions and Relationships,d730,Relating with strangers,Yabancılarla ilişki kurma,d730 — Relating with strangers — Yabancılarla ilişki kurma  
d,d7 – Kişilerarası Etkileşim ve İlişkiler — Interpersonal Interactions and Relationships,d740,Formal relationships,Resmî ilişkiler,d740 — Formal relationships — Resmî ilişkiler  
d,d7 – Kişilerarası Etkileşim ve İlişkiler — Interpersonal Interactions and Relationships,d750,Informal social relationships,Gündelik sosyal ilişkiler,d750 — Informal social relationships — Gündelik sosyal ilişkiler  
d,d7 – Kişilerarası Etkileşim ve İlişkiler — Interpersonal Interactions and Relationships,d760,Family relationships,Aile ilişkileri,d760 — Family relationships — Aile ilişkileri  
d,d7 – Kişilerarası Etkileşim ve İlişkiler — Interpersonal Interactions and Relationships,d770,Intimate relationships,Yakın ilişkiler,d770 — Intimate relationships — Yakın ilişkiler  
d,d8 – Temel Yaşam Alanları — Major Life Areas,d810,Informal education,Gayriresmî eğitim,d810 — Informal education — Gayriresmî eğitim  
d,d8 – Temel Yaşam Alanları — Major Life Areas,d815,Preschool education,Okul öncesi eğitim,d815 — Preschool education — Okul öncesi eğitim  
d,d8 – Temel Yaşam Alanları — Major Life Areas,d820,School education,Okul eğitimi,d820 — School education — Okul eğitimi  
d,d8 – Temel Yaşam Alanları — Major Life Areas,d825,Vocational training,Mesleki eğitim,d825 — Vocational training — Mesleki eğitim  
d,d8 – Temel Yaşam Alanları — Major Life Areas,d830,Higher education,Yükseköğrenim,d830 — Higher education — Yükseköğrenim  
d,d8 – Temel Yaşam Alanları — Major Life Areas,d835,Education life,Eğitim hayatı,d835 — Education life — Eğitim hayatı  
d,d8 – Temel Yaşam Alanları — Major Life Areas,d840,Apprenticeship,Çıraklık,d840 — Apprenticeship — Çıraklık  
d,d8 – Temel Yaşam Alanları — Major Life Areas,d845,Acquiring keeping and terminating a job,"İşe girme, işte kalma ve işten ayrılma","d845 — Acquiring keeping and terminating a job — İşe girme, işte kalma ve işten ayrılma  "
d,d8 – Temel Yaşam Alanları — Major Life Areas,d850,Remunerative employment,Ücretli istihdam,d850 — Remunerative employment — Ücretli çalışma  
d,d8 – Temel Yaşam Alanları — Major Life Areas,d855,Non-remunerative employment,Ücretsiz (gönüllü) çalışma,d855 — Non-remunerative employment — Ücretsiz çalışma (gönüllü iş)  
d,d8 – Temel Yaşam Alanları — Major Life Areas,d860,Basic economic transactions,Temel ekonomik işlemler,d860 — Basic economic transactions — Temel ekonomik işlemler  
d,d8 – Temel Yaşam Alanları — Major Life Areas,d865,Complex economic transactions,Karmaşık ekonomik işlemler,d865 — Complex economic transactions — Karmaşık ekonomik işlemler  
d,"d9 – Toplumsal, Sosyal ve Yurttaşlık Yaşamı — Community, Social and Civic Life",d910,Community life,Toplumsal yaşam,d910 — Community life — Toplumsal yaşam  
d,"d9 – Toplumsal, Sosyal ve Yurttaşlık Yaşamı — Community, Social and Civic Life",d920,Recreation and leisure,Rekreasyon ve boş zaman etkinlikleri,d920 — Recreation and leisure — Rekreasyon ve boş zaman etkinlikleri  
d,"d9 – Toplumsal, Sosyal ve Yurttaşlık Yaşamı — Community, Social and Civic Life",d930,Religion and spirituality,Din ve maneviyat,d930 — Religion and spirituality — Din ve maneviyat  
d,"d9 – Toplumsal, Sosyal ve Yurttaşlık Yaşamı — Community, Social and Civic Life",d940,Human rights,İnsan hakları,d940 — Human rights — İnsan hakları  
d,"d9 – Toplumsal, Sosyal ve Yurttaşlık Yaşamı — Community, Social and Civic Life",d950,Political life and citizenship,Siyasi yaşam ve vatandaşlık,d950 — Political life and citizenship — Siyasi yaşam ve vatandaşlık  
pf,PF — Kişsiel Faktörler - Personal Factors,PF001,Educational background,Eğitim geçmişi,PF001 — Educational background — Eğitim geçmişi  
pf,PF — Kişsiel Faktörler - Personal Factors,PF002,Coping styles,Başa çıkma tarzları,PF002 — Coping styles — Başa çıkma tarzları  
pf,PF — Kişsiel Faktörler - Personal Factors,PF003,Lifestyle,Yaşam tarzı,PF003 — Lifestyle — Yaşam tarzı  
pf,PF — Kişsiel Faktörler - Personal Factors,PF004,Habits,Alışkanlıklar,PF004 — Habits — Alışkanlıklar  
pf,PF — Kişsiel Faktörler - Personal Factors,PF005,Upbringing,Yetiştirilme biçimi,PF005 — Upbringing — Yetiştirilme biçimi  
pf,PF — Kişsiel Faktörler - Personal Factors,PF006,Profession,Meslek,PF006 — Profession — Meslek  
pf,PF — Kişsiel Faktörler - Personal Factors,PF007,Psychological assets,Psikolojik kaynaklar,PF007 — Psychological assets — Psikolojik kaynaklar  
pf,PF — Kişsiel Faktörler - Personal Factors,PF008,Fitness,Fiziksel uygunluk (fitness),PF008 — Fitness — Fiziksel uygunluk  
pf,PF — Kişsiel Faktörler - Personal Factors,PF009,Social background,Sosyal geçmiş,PF009 — Social background — Sosyal geçmiş  
pf,PF — Kişsiel Faktörler - Personal Factors,PF010,Motivation,Motivasyon,PF010 — Motivation — Motivasyon  
pf,PF — Kişsiel Faktörler - Personal Factors,PF011,Personality traits,Kişilik özellikleri,PF011 — Personality traits — Kişilik özellikleri  
pf,PF — Kişsiel Faktörler - Personal Factors,PF012,Beliefs and values,İnançlar ve değerler,PF012 — Beliefs and values — İnançlar ve değerler  
pf,PF — Kişsiel Faktörler - Personal Factors,PF013,Health literacy,Sağlık okuryazarlığı,PF013 — Health literacy — Sağlık okuryazarlığı  
pf,PF — Kişsiel Faktörler - Personal Factors,PF014,Cultural background,Kültürel geçmiş,PF014 — Cultural background — Kültürel geçmiş  
pf,PF — Kişsiel Faktörler - Personal Factors,PF015,Employment status,İstihdam durumu,PF015 — Employment status — İstihdam durumu  
pf,PF — Kişsiel Faktörler - Personal Factors,PF016,Marital status,Medeni durum,PF016 — Marital status — Medeni durum  
pf,PF — Kişsiel Faktörler - Personal Factors,PF017,Financial resources,Maddi kaynaklar,PF017 — Financial resources — Mali kaynaklar  
pf,PF — Kişsiel Faktörler - Personal Factors,PF018,Communication preferences,İletişim tercihleri,PF018 — Communication preferences — İletişim tercihleri  
pf,PF — Kişsiel Faktörler - Personal Factors,PF019,Use of assistive technology,Yardımcı teknolojilerin kullanımı,PF019 — Use of assistive technology — Yardımcı teknoloji kullanımı  
pf,PF — Kişsiel Faktörler - Personal Factors,PF020,Support system,Destek sistemi,PF020 — Support system — Destek sistemi  
e,e1 – Ürünler ve Teknoloji — Products and Technology,e110,"For personal consumption (food, medicines)","Kişisel tüketim için (yiyecek, ilaçlar)",e110 — For personal consumption (food- medicines) — Kişisel tüketim için (yiyecek- ilaçlar)  
e,e1 – Ürünler ve Teknoloji — Products and Technology,e115,For personal use in daily living,Günlük yaşamda kişisel kullanım için,e115 — For personal use in daily living — Günlük yaşamda kişisel kullanım için  
e,e1 – Ürünler ve Teknoloji — Products and Technology,e120,For personal indoor and outdoor mobility and transportation,Kapalı ve açık alanlarda kişisel hareketlilik ve ulaşım için ürünler,e120 — For personal indoor and outdoor mobility and transportation — Kapalı ve açık alan hareketliliği ve ulaşımı için  
e,e1 – Ürünler ve Teknoloji — Products and Technology,e125,Products for communication,İletişim amaçlı ürünler,e125 — Products for communication — İletişim amaçlı ürünler  
e,e1 – Ürünler ve Teknoloji — Products and Technology,e150,"Design, construction and building products and technology of buildings for public use","Kamusal kullanım için bina tasarımı, yapımı ve teknolojisi","e150 — Design, construction and building products and technology of buildings for public use — Kamusal binalar için tasarım, inşaat ve yapı teknolojileri  "
e,e1 – Ürünler ve Teknoloji — Products and Technology,e155,"Design, construction and building products and technology of buildings for private use","Özel kullanım için bina tasarımı, yapımı ve teknolojisi","e155 — Design, construction and building products and technology of buildings for private use — Özel kullanım amaçlı binalar için tasarım, inşaat ve yapı teknolojileri  "
e,e2 – Doğal çevre ve insan yapımı değişiklikler — Natural Environment and Human-Made Changes,e210,Physical geography,Fiziki coğrafya,e210 — Physical geography — Fiziksel coğrafya  
e,e2 – Doğal çevre ve insan yapımı değişiklikler — Natural Environment and Human-Made Changes,e225,Climate,İklim,e225 — Climate — İklim  
e,e2 – Doğal çevre ve insan yapımı değişiklikler — Natural Environment and Human-Made Changes,e240,Light,Işık,e240 — Light — Işık  
e,e2 – Doğal çevre ve insan yapımı değişiklikler — Natural Environment and Human-Made Changes,e250,Sound,Ses,e250 — Sound — Ses  
e,e3 – Destek ve İlişkiler — Support and Relationships,e310,Immediate family,Çekirdek aile,e310 — Immediate family — Çekirdek aile  
e,e3 – Destek ve İlişkiler — Support and Relationships,e320,Friends,Arkadaşlar,e320 — Friends — Arkadaşlar  
e,e3 – Destek ve İlişkiler — Support and Relationships,e325,"Acquaintances, peers, colleagues, neighbours and community members","Tanıdıklar, akranlar, meslektaşlar, komşular ve toplum üyeleri","e325 — Acquaintances, peers, colleagues, neighbours and community members — Tanıdıklar, akranlar, meslektaşlar, komşular ve toplum üyeleri  "
e,e3 – Destek ve İlişkiler — Support and Relationships,e330,People in position of authority,Yetki sahibi kişiler,e330 — People in position of authority — Yetki sahibi kişiler  
e,e3 – Destek ve İlişkiler — Support and Relationships,e340,Personal care providers and personal assistants,Kişisel bakım sağlayıcıları ve bireysel asistanlar,e340 — Personal care providers and personal assistants — Kişisel bakım sağlayıcıları ve bireysel asistanlar  
e,e3 – Destek ve İlişkiler — Support and Relationships,e355,Health professionals,Sağlık profesyonelleri,e355 — Health professionals — Sağlık profesyonelleri  
e,e3 – Destek ve İlişkiler — Support and Relationships,e360,Health-related professionals,Sağlıkla ilişkili profesyoneller,e360 — Health-related professionals — Sağlıkla ilişkili profesyoneller  
e,e4 – Tutumlar — Attitudes,e410,Individual attitudes of immediate family members,Çekirdek aile üyelerinin bireysel tutumları,e410 — Individual attitudes of immediate family members — Çekirdek aile üyelerinin bireysel tutumları  
e,e4 – Tutumlar — Attitudes,e420,Individual attitudes of friends,Arkadaşların bireysel tutumları,e420 — Individual attitudes of friends — Arkadaşların bireysel tutumları  
e,e4 – Tutumlar — Attitudes,e440,Individual attitudes of personal care providers and personal assistants,Kişisel bakım sağlayıcıların ve bireysel asistanların bireysel tutumları,e440 — Individual attitudes of personal care providers and personal assistants — Kişisel bakım sağlayıcıların ve bireysel asistanların bireysel tutumları  
e,e4 – Tutumlar — Attitudes,e450,Individual attitudes of health professionals,Sağlık profesyonellerinin bireysel tutumları,e450 — Individual attitudes of health professionals — Sağlık profesyonellerinin bireysel tutumları  
e,e4 – Tutumlar — Attitudes,e455,Individual attitudes of health‑related professionals,Sağlıkla ilişkili profesyonellerin bireysel tutumları,e455 — Individual attitudes of health‑related professionals — Sağlıkla ilişkili profesyonellerin bireysel tutumları  
e,e4 – Tutumlar — Attitudes,e460,Societal attitudes,Toplumsal tutumlar,e460 — Societal attitudes — Toplumsal tutumlar  
e,e4 – Tutumlar — Attitudes,e465,"Social norms, practices and ideologies","Toplumsal normlar, uygulamalar ve ideolojiler","e465 — Social norms, practices and ideologies — Sosyal normlar, uygulamalar ve ideolojiler  "
e,"e5 – Hizmetler, Sistemler ve Politikalar — Services, Systems and Policies",e525,"Housing services, systems and policies","Barınma hizmetleri, sistemleri ve politikaları","e525 — Housing services, systems and policies — Barınma hizmetleri, sistemleri ve politikaları  "
e,"e5 – Hizmetler, Sistemler ve Politikalar — Services, Systems and Policies",e535,"Communication services, systems and policies","İletişim hizmetleri, sistemleri ve politikaları","e535 — Communication services, systems and policies — İletişim hizmetleri, sistemleri ve politikaları  "
e,"e5 – Hizmetler, Sistemler ve Politikalar — Services, Systems and Policies",e540,"Transportation services, systems and policies","Ulaşım hizmetleri, sistemleri ve politikaları","e540 — Transportation services, systems and policies — Ulaşım hizmetleri, sistemleri ve politikaları  "
e,"e5 – Hizmetler, Sistemler ve Politikalar — Services, Systems and Policies",e545,"Labour and employment services, systems and policies","İşgücü ve istihdam hizmetleri, sistemleri ve politikaları","e545 — Labour and employment services, systems and policies — İşgücü ve istihdam hizmetleri, sistemleri ve politikaları  "
e,"e5 – Hizmetler, Sistemler ve Politikalar — Services, Systems and Policies",e550,"Legal services, systems and policies","Hukuki hizmetler, sistemler ve politikalar","e550 — Legal services, systems and policies — Hukuki hizmetler, sistemler ve politikalar  "
e,"e5 – Hizmetler, Sistemler ve Politikalar — Services, Systems and Policies",e555,"System and policies for economic services, systems and policies",Ekonomik hizmetlere yönelik sistemler ve politikalar,"e555 — System and policies for economic services, systems and policies — Ekonomik hizmet sistemleri ve politikaları  "
e,"e5 – Hizmetler, Sistemler ve Politikalar — Services, Systems and Policies",e560,"Health services, systems and policies","Sağlık hizmetleri, sistemleri ve politikaları","e560 — Health services, systems and policies — Sağlık hizmetleri, sistemleri ve politikaları  "
e,"e5 – Hizmetler, Sistemler ve Politikalar — Services, Systems and Policies",e565,Social security systems,Sosyal güvenlik sistemleri,e565 — Social security systems — Sosyal güvenlik sistemleri  
e,"e5 – Hizmetler, Sistemler ve Politikalar — Services, Systems and Policies",e575,"General social support services, systems and policies","Genel sosyal destek hizmetleri, sistemleri ve politikaları","e575 — General social support services, systems and policies — Genel sosyal destek hizmetleri, sistemleri ve politikaları"
